"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296100049","08:38:00","08:38:00","128","6","L.A. Union Station","0","08:38:00","1"
"296100049","08:46:00","08:46:00","174","7","L.A. Union Station","0","08:46:00","1"
"296100049","08:52:00","08:52:00","130","8","L.A. Union Station","0","08:52:00","1"
"296100049","09:00:00","09:00:00","143","9","L.A. Union Station","0","09:00:00","1"
"296100049","09:11:00","09:11:00","135","10","L.A. Union Station","0","09:11:00","1"
"296100049","09:31:00","09:31:00","107","11","L.A. Union Station","0","09:31:00","1"
"296100057","15:26:00","15:26:00","144","1","L.A. Union Station","0","15:26:00","1"
"296100057","15:50:00","15:50:00","152","2","L.A. Union Station","0","15:50:00","1"
"296100057","16:00:00","16:00:00","153","3","L.A. Union Station","0","16:00:00","1"
"296100057","16:06:00","16:06:00","141","4","L.A. Union Station","0","16:06:00","1"
"296100057","16:16:00","16:16:00","140","5","L.A. Union Station","0","16:16:00","1"
"296100057","16:22:00","16:22:00","156","6","L.A. Union Station","0","16:22:00","1"
"296100057","16:29:00","16:29:00","154","7","L.A. Union Station","0","16:29:00","1"
"296100057","16:34:00","16:34:00","145","8","L.A. Union Station","0","16:34:00","1"
"296100057","16:39:00","16:39:00","128","9","L.A. Union Station","0","16:39:00","1"
"296100057","16:46:00","16:46:00","174","10","L.A. Union Station","0","16:46:00","1"
"296100057","16:51:00","16:51:00","130","11","L.A. Union Station","0","16:51:00","1"
"296100057","16:59:00","16:59:00","143","12","L.A. Union Station","0","16:59:00","1"
"296100057","17:27:00","17:27:00","107","13","L.A. Union Station","0","17:27:00","1"
"296100059","17:17:00","17:17:00","140","1","L.A. Union Station","0","17:17:00","1"
"296100059","17:24:00","17:24:00","156","2","L.A. Union Station","0","17:24:00","1"
"296100059","17:30:00","17:30:00","154","3","L.A. Union Station","0","17:30:00","1"
"296100059","17:36:00","17:36:00","145","4","L.A. Union Station","0","17:36:00","1"
"296100059","17:41:00","17:41:00","128","5","L.A. Union Station","0","17:41:00","1"
"296100059","17:48:00","17:48:00","174","6","L.A. Union Station","0","17:48:00","1"
"296100059","17:54:00","17:54:00","130","7","L.A. Union Station","0","17:54:00","1"
"296100059","18:01:00","18:01:00","143","8","L.A. Union Station","0","18:01:00","1"
"296100059","18:29:00","18:29:00","107","9","L.A. Union Station","0","18:29:00","1"
"296200088","07:58:00","07:58:00","107","1","Oceanside","0","07:58:00","1"
"296200088","08:22:00","08:22:00","143","2","Oceanside","0","08:22:00","1"
"296200088","08:29:00","08:29:00","130","3","Oceanside","0","08:29:00","1"
"296200088","08:35:00","08:35:00","174","4","Oceanside","0","08:35:00","1"
"296200088","08:42:00","08:42:00","128","5","Oceanside","0","08:42:00","1"
"296200088","08:47:00","08:47:00","145","6","Oceanside","0","08:47:00","1"
"296200088","08:52:00","08:52:00","154","7","Oceanside","0","08:52:00","1"
"296200088","08:58:00","08:58:00","156","8","Oceanside","0","08:58:00","1"
"296200088","09:07:00","09:07:00","140","9","Oceanside","0","09:07:00","1"
"296200088","09:18:00","09:18:00","141","10","Oceanside","0","09:18:00","1"
"296200088","09:25:00","09:25:00","153","11","Oceanside","0","09:25:00","1"
"296200088","09:38:00","09:38:00","152","12","Oceanside","0","09:38:00","1"
"296200088","10:10:00","10:10:00","144","13","Oceanside","0","10:10:00","1"
"296200093","14:11:00","14:11:00","107","1","Laguna Niguel / Mission Viejo","0","14:11:00","1"
"296200093","14:35:00","14:35:00","143","2","Laguna Niguel / Mission Viejo","0","14:35:00","1"
"296200093","14:42:00","14:42:00","130","3","Laguna Niguel / Mission Viejo","0","14:42:00","1"
"296200093","14:48:00","14:48:00","174","4","Laguna Niguel / Mission Viejo","0","14:48:00","1"
"296200093","14:55:00","14:55:00","128","5","Laguna Niguel / Mission Viejo","0","14:55:00","1"
"296200093","15:00:00","15:00:00","145","6","Laguna Niguel / Mission Viejo","0","15:00:00","1"
"296200093","15:05:00","15:05:00","154","7","Laguna Niguel / Mission Viejo","0","15:05:00","1"
"296200093","15:11:00","15:11:00","156","8","Laguna Niguel / Mission Viejo","0","15:11:00","1"
"296200093","15:19:00","15:19:00","140","9","Laguna Niguel / Mission Viejo","0","15:19:00","1"
"296200093","15:33:00","15:33:00","141","10","Laguna Niguel / Mission Viejo","0","15:33:00","1"
"296200094","15:23:00","15:23:00","107","1","Oceanside","0","15:23:00","1"
"296200094","15:39:00","15:39:00","135","2","Oceanside","0","15:39:00","1"
"296200094","15:49:00","15:49:00","143","3","Oceanside","0","15:49:00","1"
"296200094","15:56:00","15:56:00","130","4","Oceanside","0","15:56:00","1"
"296200094","16:02:00","16:02:00","174","5","Oceanside","0","16:02:00","1"
"296200094","16:11:00","16:11:00","128","6","Oceanside","0","16:11:00","1"
"296200094","16:16:00","16:16:00","145","7","Oceanside","0","16:16:00","1"
"296200094","16:21:00","16:21:00","154","8","Oceanside","0","16:21:00","1"
"296200094","16:27:00","16:27:00","156","9","Oceanside","0","16:27:00","1"
"296200094","16:36:00","16:36:00","140","10","Oceanside","0","16:36:00","1"
"296200094","16:45:00","16:45:00","141","11","Oceanside","0","16:45:00","1"
"296200094","16:51:00","16:51:00","153","12","Oceanside","0","16:51:00","1"
"296200094","17:04:00","17:04:00","152","13","Oceanside","0","17:04:00","1"
"296200094","17:31:00","17:31:00","144","14","Oceanside","0","17:31:00","1"
"296200096","15:47:00","15:47:00","107","1","Irvine","0","15:47:00","1"
"296200096","16:03:00","16:03:00","135","2","Irvine","0","16:03:00","1"
"296200096","16:14:00","16:14:00","143","3","Irvine","0","16:14:00","1"
"296200096","16:22:00","16:22:00","130","4","Irvine","0","16:22:00","1"
"296200096","16:27:00","16:27:00","174","5","Irvine","0","16:27:00","1"
"296200096","16:35:00","16:35:00","128","6","Irvine","0","16:35:00","1"
"296200096","16:40:00","16:40:00","145","7","Irvine","0","16:40:00","1"
"296200096","16:45:00","16:45:00","154","8","Irvine","0","16:45:00","1"
"296200096","16:51:00","16:51:00","156","9","Irvine","0","16:51:00","1"
"296200096","17:03:00","17:03:00","140","10","Irvine","0","17:03:00","1"
"296200098","16:30:00","16:30:00","107","1","Oceanside","0","16:30:00","1"
"296200098","16:45:00","16:45:00","135","2","Oceanside","0","16:45:00","1"
